id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,city,zipcode
41218952,Jewel Box studio ~ an art-filled North Seattle gem,192365131,Joline,Other neighborhoods,Bitter Lake,47.7119,-122.35053,Entire home/apt,85,2,74,2023-03-11,1.97,1,187,29,Seattle,98133.0
37540799,Walk to Space Needle from a Vibrant Cap Hill Loft,28420265,Sherry,Capitol Hill,Broadway,47.62186,-122.32671,Entire home/apt,286,2,122,2023-03-19,2.85,32,325,45,Seattle,98102.0
48046428,Designer Urban Retreat w/ Rooftop Deck & Fireplace,28420265,Sherry,Central Area,Atlantic,47.59695,-122.30135,Entire home/apt,186,2,71,2023-03-12,2.78,32,90,41,Seattle,98144.0
49504062,Dreamy Suite w/ Amazing Bath Near VA Hospital!,64063733,Jill,Beacon Hill,Mid-Beacon Hill,47.56705,-122.31371,Entire home/apt,78,1,59,2023-03-12,2.67,1,20,39,Seattle,98108.0
51127375,"Downtown Oasis, 4 Bd new home w/tub & rooftop deck",289549340,Brian,Central Area,Madrona,47.61065,-122.28941,Entire home/apt,685,3,11,2023-02-20,0.6,1,38,5,Seattle,98122.0
52029017,Beautiful 2BR Condo in Seattle + Parking,48005494,Zeus,West Seattle,Fairmount Park,47.56697,-122.3731,Entire home/apt,97,30,3,2022-12-16,0.28,112,282,3,Seattle,98126.0
53120448,Charming Greenlake/Phinney Ridge 1-Bedroom,11640857,Kristi,Other neighborhoods,Greenwood,47.68729,-122.34764,Entire home/apt,118,30,6,2022-12-31,0.39,2,98,5,Seattle,98103.0
54223279,Overnight Mountain Co-living - Spacious - Room 9,439171297,Rand,Northgate,Haller Lake,47.715092,-122.333008,Private room,50,2,4,2022-10-30,0.31,8,324,3,Seattle,98133.0
569555605613524760,3 bedroom at Madison Valley area of Seattle,177435971,Jianhua,Central Area,Madrona,47.618309,-122.29512,Entire home/apt,217,30,0,,,2,364,0,Seattle,98122.0
605608031104084020,"Columbia City 1BR w/ W/D & Gym, nr Light Rail",107434423,Blueground,Rainier Valley,Columbia City,47.5612311,-122.2928934,Entire home/apt,102,31,1,2022-11-16,0.23,408,341,1,Seattle,98108.0
